calls,max_ms,mean_ms,query_sample,queryid,rows,total_ms
2,18.76,18.16,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-7875784436338231707,288,36.32
2,20.55,19.40,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",3908677333985493254,274,38.80
2,19.05,17.13,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",2505442890100713415,268,34.26
1,0.68,0.68,"ALTER TABLE ONLY public.booking_table_assignments
    ADD CONSTRAINT booking_table_assignments_table_id_slot_id_key UNIQUE (table_id, slot_id)",8195802524867466868,0,0.68
1,19.33,19.33,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",6181779666027417709,154,19.33
1,0.66,0.66,"CREATE INDEX bta_booking_id_idx ON public.booking_table_assignments USING btree (booking_id)",-8904149433751207278,0,0.66
1,0.73,0.73,"CREATE POLICY authenticated_select ON public.booking_table_assignments FOR SELECT TO authenticated USING ((EXISTS ( SELECT 1
   FROM (public.bookings b
     JOIN public.restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_table_assignments.booking_id) AND (rm.user_id = auth.uid())))))",2547796945711503541,0,0.73
1,0.52,0.52,"CREATE POLICY ""Staff can view customer profiles"" ON public.customer_profiles FOR SELECT USING ((EXISTS ( SELECT 1
   FROM public.customers c
  WHERE ((c.id = customer_profiles.customer_id) AND (c.restaurant_id IN ( SELECT public.user_restaurants() AS user_restaurants))))))",7190455543474314022,0,0.52
1,0.71,0.71,"CREATE INDEX idx_bookings_reference ON public.bookings USING btree (reference)",-1846587913871099207,0,0.71
1,0.66,0.66,"CREATE INDEX idx_customers_restaurant ON public.customers USING btree (restaurant_id)",7346888171711709838,0,0.66
1,0.18,0.18,"COMMENT ON CONSTRAINT bookings_lifecycle_timestamp_consistency ON public.bookings IS 'Ensures booking lifecycle timestamps align with the status (checked-in bookings must have check-in timestamps, completed bookings need both timestamps, etc).'",7847232505172982320,0,0.18
1,0.50,0.50,"CREATE FUNCTION public.confirm_hold_assignment_with_transition(p_booking_id uuid, p_table_ids uuid[], p_idempotency_key text, p_require_adjacency boolean DEFAULT false, p_assigned_by uuid DEFAULT NULL::uuid, p_start_at timestamp with time zone DEFAULT NULL::timestamp with time zone, p_end_at timestamp with time zone DEFAULT NULL::timestamp with time zone, p_target_status public.booking_status DEFAULT 'confirmed'::public.booking_status, p_history_changed_by uuid DEFAULT NULL::uuid, p_history_reas",3728858243314619158,0,0.50
1,0.30,0.30,"COMMENT ON TABLE public.booking_table_assignments IS 'Links bookings to physical tables. A booking can have multiple tables (e.g., party of 10 = 2x 6-tops).'",2163782087732238980,0,0.30
1,0.42,0.42,"CREATE FUNCTION public.validate_booking_capacity_after_assignment(p_booking_id uuid) RETURNS void
    LANGUAGE plpgsql
    SET search_path TO 'public', 'extensions'
    AS $$
DECLARE
  v_booking RECORD;
  v_service_period RECORD;
  v_timezone text;
  v_start timestamptz;
  v_end timestamptz;
  v_total_covers integer;
  v_total_parties integer;
  v_max_covers integer := 999999;
  v_max_parties integer := 999999;
  v_allow_after_hours boolean := false;
  v_policy RECORD;
  v_service_id uuid;
  v_c",-3757532804636384804,0,0.42
1,0.13,0.13,"ALTER TABLE IF EXISTS ONLY public.bookings DROP CONSTRAINT IF EXISTS bookings_customer_id_fkey",-4844258924566652687,0,0.13
1,0.28,0.28,"COMMENT ON TABLE public.bookings IS 'Customer reservations with party size, time, and status'",-2107832510142825932,0,0.28
1,16.69,16.69,"insert into public.booking_table_assignments (id, booking_id, table_id, assigned_by, notes, start_at, end_at) values ($1, $2, $3, $4, $5, $6, $7), ($8, $9, $10, $11, $12, $13, $14), ($15, $16, $17, $18, $19, $20, $21), ($22, $23, $24, $25, $26, $27, $28), ($29, $30, $31, $32, $33, $34, $35), ($36, $37, $38, $39, $40, $41, $42), ($43, $44, $45, $46, $47, $48, $49), ($50, $51, $52, $53, $54, $55, $56), ($57, $58, $59, $60, $61, $62, $63), ($64, $65, $66, $67, $68, $69, $70), ($71, $72, $73, $74, $",-3799508113398774411,140,16.69
1,0.18,0.18,"GRANT ALL ON TABLE public.booking_table_assignments TO anon",7077129671837297491,0,0.18
1,0.85,0.85,"ALTER TABLE ONLY public.bookings
    ADD CONSTRAINT bookings_pkey PRIMARY KEY (id)",-4567150177580641212,0,0.85
1,0.61,0.61,"CREATE POLICY authenticated_select ON public.booking_assignment_attempts FOR SELECT TO authenticated USING ((EXISTS ( SELECT 1
   FROM (public.bookings b
     JOIN public.restaurant_memberships rm ON ((rm.restaurant_id = b.restaurant_id)))
  WHERE ((b.id = booking_assignment_attempts.booking_id) AND (rm.user_id = ( SELECT auth.uid() AS uid))))))",2974493089310253506,0,0.61
1,0.59,0.59,"CREATE POLICY ""Admins and owners can delete customers"" ON public.customers FOR DELETE USING ((EXISTS ( SELECT 1
   FROM public.restaurant_memberships rm
  WHERE ((rm.restaurant_id = customers.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)) AND (rm.role = ANY (ARRAY['owner'::text, 'admin'::text]))))))",8070144054018624579,0,0.59
1,0.40,0.40,"CREATE POLICY ""Tenant service role can manage customers"" ON public.customers TO service_role USING ((restaurant_id = public.require_restaurant_context())) WITH CHECK ((restaurant_id = public.require_restaurant_context()))",-3166279530068178247,0,0.40
1,0.10,0.10,"ALTER TABLE IF EXISTS ONLY public.customers DROP CONSTRAINT IF EXISTS customers_user_profile_id_fkey",-3739958863530074988,0,0.10
1,1.42,1.42,"ALTER TABLE ONLY public.bookings
    ADD CONSTRAINT bookings_assigned_zone_id_fkey FOREIGN KEY (assigned_zone_id) REFERENCES public.zones(id) ON DELETE SET NULL",5997413275303060500,0,1.42
1,0.77,0.77,"CREATE POLICY ""Admins and owners can delete bookings"" ON public.bookings FOR DELETE USING ((EXISTS ( SELECT 1
   FROM public.restaurant_memberships rm
  WHERE ((rm.restaurant_id = bookings.restaurant_id) AND (rm.user_id = ( SELECT auth.uid() AS uid)) AND (rm.role = ANY (ARRAY['owner'::text, 'admin'::text]))))))",-77471699603022212,0,0.77
1,0.11,0.11,"ALTER TABLE IF EXISTS ONLY public.bookings DROP CONSTRAINT IF EXISTS bookings_restaurant_id_fkey",5628041733168789769,0,0.11
