calls,max_ms,mean_ms,query_sample,queryid,rows,total_ms
170,3.76,1.57,"WITH
pks_uniques_cols AS (
  SELECT
    conrelid,
    array_agg(key order by key) as cols
  FROM pg_constraint,
  LATERAL unnest(conkey) AS _(key)
  WHERE
    contype IN ($1, $2)
    AND connamespace <> $3::regnamespace
  GROUP BY oid, conrelid
)
SELECT
  ns1.nspname AS table_schema,
  tab.relname AS table_name,
  ns2.nspname AS foreign_table_schema,
  other.relname AS foreign_table_name,
  traint.conrelid = traint.confrelid AS is_self,
  traint.conname  AS constraint_name,
  column_info.cols_an",4272184973515172242,7215,267.47
170,2700.24,77.58,"SELECT name FROM pg_timezone_names",-7726440967385220442,202980,13189.40
170,0.02,0.01,set local schema '',-8155911832923525096,0,1.15
170,0.62,0.36,"with
all_relations as (
  select reltype
  from pg_class
  where relkind in ($2,$3,$4,$5,$6)
  union
  select oid
  from pg_type
  where typname = $7
),
media_types as (
    SELECT
      t.oid,
      lower(t.typname) as typname,
      t.typnamespace,
      case t.typname
        when $8 then $9
        else t.typname
      end as resolved_media_type
    FROM pg_type t
    JOIN pg_type b ON t.typbasetype = b.oid
    WHERE
      t.typbasetype <> $10 and
      (t.typname ~* $11 or t.typname = $12)
",7459086053737063230,0,61.40
170,0.04,0.01,"SELECT current_setting($1)::integer, current_setting($2), version()",-803669021344718684,170,1.62
170,0.72,0.07,"WITH
role_setting AS (
  SELECT setdatabase as database,
         unnest(setconfig) as setting
  FROM pg_catalog.pg_db_role_setting
  WHERE setrole = CURRENT_USER::regrole::oid
    AND setdatabase IN ($2, (SELECT oid FROM pg_catalog.pg_database WHERE datname = CURRENT_CATALOG))
),
kv_settings AS (
  SELECT database,
         substr(setting, $3, strpos(setting, $4) - $5) as k,
         substr(setting, strpos(setting, $6) + $7) as v
  FROM role_setting
  
)
SELECT DISTINCT ON (key)
       replace(",3592621174565712767,0,11.50
170,2.27,1.57,"with
all_relations as (
  select reltype
  from pg_class
  where relkind in ($1,$2,$3,$4,$5)
),
computed_rels as (
  select
    (parse_ident(p.pronamespace::regnamespace::text))[$6] as schema,
    p.proname::text                  as name,
    arg_schema.nspname::text         as rel_table_schema,
    arg_name.typname::text           as rel_table_name,
    ret_schema.nspname::text         as rel_ftable_schema,
    ret_name.typname::text           as rel_ftable_name,
    not p.proretset or p.prorow",-5945916706620701072,0,266.51
170,39.02,23.68,"WITH
-- Recursively get the base types of domains
base_types AS (
  WITH RECURSIVE
  recurse AS (
    SELECT
      oid,
      typbasetype,
      typnamespace AS base_namespace,
      COALESCE(NULLIF(typbasetype, $3), oid) AS base_type
    FROM pg_type
    UNION
    SELECT
      t.oid,
      b.typbasetype,
      b.typnamespace AS base_namespace,
      COALESCE(NULLIF(b.typbasetype, $4), b.oid) AS base_type
    FROM recurse t
    JOIN pg_type b ON t.typbasetype = b.oid
  )
  SELECT
    oid,
    ba",5299301975933694258,4747,4024.78
170,3.99,2.06,"with recursive
pks_fks as (
  -- pk + fk referencing col
  select
    contype::text as contype,
    conname,
    array_length(conkey, $3) as ncol,
    conrelid as resorigtbl,
    col as resorigcol,
    ord
  from pg_constraint
  left join lateral unnest(conkey) with ordinality as _(col, ord) on $4
  where contype IN ($5, $6)
  union
  -- fk referenced col
  select
    concat(contype, $7) as contype,
    conname,
    array_length(confkey, $8) as ncol,
    confrelid,
    col,
    ord
  from pg_con",-6019717523838313193,0,349.46
170,2.71,1.96,"with
role_setting as (
  select r.rolname, unnest(r.rolconfig) as setting
  from pg_auth_members m
  join pg_roles r on r.oid = m.roleid
  where member = current_user::regrole::oid
),
kv_settings AS (
  SELECT
    rolname,
    substr(setting, $1, strpos(setting, $2) - $3) as key,
    lower(substr(setting, strpos(setting, $4) + $5)) as value
  FROM role_setting
),
iso_setting AS (
  SELECT rolname, value
  FROM kv_settings
  WHERE key = $6
)
select
  kv.rolname,
  i.value as iso_lvl,
  coalesce(a",7899190504599315261,340,333.48
170,29.98,15.13,"WITH
-- Recursively get the base types of domains
base_types AS (
  WITH RECURSIVE
  recurse AS (
    SELECT
      oid,
      typbasetype,
      typnamespace AS base_namespace,
      COALESCE(NULLIF(typbasetype, $2), oid) AS base_type
    FROM pg_type
    UNION
    SELECT
      t.oid,
      b.typbasetype,
      b.typnamespace AS base_namespace,
      COALESCE(NULLIF(b.typbasetype, $3), b.oid) AS base_type
    FROM recurse t
    JOIN pg_type b ON t.typbasetype = b.oid
  )
  SELECT
    oid,
    ba",-1368919766788970690,11990,2571.37
170,0.73,0.49,"SELECT
  c.castsource::regtype::text,
  c.casttarget::regtype::text,
  c.castfunc::regproc::text
FROM
  pg_catalog.pg_cast c
JOIN pg_catalog.pg_type src_t
  ON c.castsource::oid = src_t.oid
JOIN pg_catalog.pg_type dst_t
  ON c.casttarget::oid = dst_t.oid
WHERE
  c.castcontext = $1
  AND c.castmethod = $2
  AND has_function_privilege(c.castfunc, $3)
  AND ((src_t.typtype = $4 AND c.casttarget IN ($5::regtype::oid , $6::regtype::oid))
   OR (dst_t.typtype = $7 AND c.castsource IN ($8::regtype::oid",-6237619394974271669,0,83.36
165,0.29,0.04,"SELECT users.aud, users.banned_until, users.confirmation_sent_at, users.confirmation_token, users.confirmed_at, users.created_at, users.deleted_at, users.email, users.email_change, users.email_change_confirm_status, users.email_change_sent_at, users.email_change_token_current, users.email_change_token_new, users.email_confirmed_at, users.encrypted_password, users.id, users.instance_id, users.invited_at, users.is_anonymous, users.is_sso_user, users.last_sign_in_at, users.phone, users.phone_change",-902132887822798486,165,6.21
162,0.00,0.00,commit,-2835399305386018931,0,0.18
129,0.00,0.00,ROLLBACK,-2646723144215712964,0,0.17
129,1.14,0.07,"with sub_tables as (
        select
        rr.entity
        from
        pg_publication_tables pub,
        lateral (
        select
        format($8, pub.schemaname, pub.tablename)::regclass entity
        ) rr
        where
        pub.pubname = $1
        and pub.schemaname like (case $2 when $9 then $10 else $2 end)
        and pub.tablename like (case $3 when $11 then $12 else $3 end)
     )
     insert into realtime.subscription as x(
        subscription_id,
        entity,
        fil",-9147814759924160219,0,9.54
114,0.02,0.01,"SHOW transaction_read_only",3396884957797646053,0,0.93
114,0.01,0.00,"begin",11701968915743190,0,0.11
109,0.01,0.00,commit,-2835399305386018931,0,0.12
89,0.14,0.04,"select set_config('search_path', $1, true), set_config('role', $2, true), set_config('request.jwt.claims', $3, true), set_config('request.method', $4, true), set_config('request.path', $5, true), set_config('request.headers', $6, true), set_config('request.cookies', $7, true)",-7821780334453251234,89,3.93
68,0.07,0.01,"LOCK TABLE ""realtime"".""schema_migrations"" IN SHARE UPDATE EXCLUSIVE MODE",-6245076194334515011,0,0.95
68,0.05,0.02,"SELECT s0.""version"" FROM ""realtime"".""schema_migrations"" AS s0",-5340225314920111913,2211,1.66
67,0.05,0.02,"SELECT EXISTS (SELECT schema_migrations.* FROM schema_migrations AS schema_migrations WHERE version = $1)",-2989875153471732559,67,1.32
67,0.12,0.02,"insert into schema_migrations (version) values ($1)",6972830137083892210,67,1.63
67,0.11,0.03,"INSERT INTO ""realtime"".""schema_migrations"" (""version"",""inserted_at"") VALUES ($1,$2)",3365402895464766725,67,1.73
54,0.17,0.08,"select
        (select count(*)::int from public.table_inventory where restaurant_id=$1) as tables,
        (select count(*)::int from public.restaurant_service_periods where restaurant_id=$1) as periods,
        (select count(*)::int from public.restaurant_operating_hours where restaurant_id=$1) as hours,
        (select count(*)::int from public.allowed_capacities where restaurant_id=$1) as allowed_caps,
        (select count(*)::int from public.restaurant_turn_bands where restaurant_id=$1) as",2200413053937636326,54,4.05
50,0.55,0.27,"insert into public.restaurant_operating_hours (id, restaurant_id, day_of_week, effective_date, opens_at, closes_at, is_closed, notes, reservation_interval_minutes, reservation_slot_times) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10), ($11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30), ($31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45, $46, $47, $48, $49, $50), ($51, $52, $53, $54, $55, $56, $57, $58, $59, $60), ($",3998557534874489965,350,13.37
50,0.66,0.19,"insert into public.allowed_capacities (restaurant_id, capacity) values ($1, $2), ($3, $4), ($5, $6), ($7, $8) on conflict do nothing",4519287402764224876,200,9.49
50,32.64,24.03,"insert into public.bookings (id, restaurant_id, customer_id, booking_date, start_time, end_time, start_at, end_at, party_size, seating_preference, status, customer_name, customer_email, customer_phone, notes, reference, source, booking_type, checked_in_at, checked_out_at) values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16, $17, $18, $19, $20), ($21, $22, $23, $24, $25, $26, $27, $28, $29, $30, $31, $32, $33, $34, $35, $36, $37, $38, $39, $40), ($41, $42, $43, $44, $45,",-7459640450888879732,10000,1201.51
50,0.09,0.05,"select day_of_week, effective_date::text as effective_date, opens_at::text as opens_at, closes_at::text as closes_at,
              is_closed, notes, reservation_interval_minutes, reservation_slot_times::text[] as reservation_slot_times
       from public.restaurant_operating_hours where restaurant_id=$1 order by effective_date nulls first, day_of_week nulls first",3736281630940155496,350,2.35
50,0.38,0.23,"select table_a, table_b from public.table_adjacencies where table_a in (select id from public.table_inventory where restaurant_id=$1)",930976446960789725,5300,11.49
50,0.44,0.14,"insert into public.restaurant_memberships (user_id, restaurant_id, role)
        values ($1,$2,$3)
        on conflict do nothing",-7238481234349223922,50,6.84
50,0.05,0.03,"select capacity from public.allowed_capacities where restaurant_id=$1 order by capacity asc",5908279443884123573,200,1.41
50,0.11,0.07,"select id, name, day_of_week, start_time::text as start_time, end_time::text as end_time, booking_option
       from public.restaurant_service_periods where restaurant_id=$1 order by start_time asc",2920373477232349725,600,3.43
50,0.02,0.01,"select service_period_id, day_of_week, effective_date::text as effective_date, max_covers, max_parties, notes, label, override_type::text as override_type
       from public.restaurant_capacity_rules where restaurant_id=$1",723100911172385264,0,0.41
50,0.07,0.02,"select count(*)::int as n from public.bookings where restaurant_id=$1 and reference like $2",-3106556272351643011,50,1.13
50,0.06,0.02,"select count(*)::int as n from public.customers where restaurant_id=$1 and email like $2",-993744666890677890,50,1.04
50,7.52,5.41,"insert into public.table_adjacencies (table_a, table_b) values ($1, $2), ($3, $4), ($5, $6), ($7, $8), ($9, $10), ($11, $12), ($13, $14), ($15, $16), ($17, $18), ($19, $20), ($21, $22), ($23, $24), ($25, $26), ($27, $28), ($29, $30), ($31, $32), ($33, $34), ($35, $36), ($37, $38), ($39, $40), ($41, $42), ($43, $44), ($45, $46), ($47, $48), ($49, $50), ($51, $52), ($53, $54), ($55, $56), ($57, $58), ($59, $60), ($61, $62), ($63, $64), ($65, $66), ($67, $68), ($69, $70), ($71, $72), ($73, $74), ($",-5658382491827552161,5300,270.49
50,0.07,0.04,"select id, name, sort_order, active from public.zones where restaurant_id=$1 order by sort_order asc, name asc",8679508857797703455,200,2.14
50,0.04,0.02,"select booking_option, max_party_size, duration_minutes
       from public.restaurant_turn_bands where restaurant_id=$1 order by booking_option asc, max_party_size asc",1063765855763403764,0,0.76
