"finding_id","severity","slug","title","source_file","finding_path","root_cause_epic","root_cause_title","owner","sprint","labels"
"acl-check-31f16c7fb5","HIGH","acl-check","Managers can create owner invitations by bypassing the client role list","src/app/api/ops/team/invitations/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-31f16c7fb5.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"acl-check-3902d2c252","HIGH","acl-check","Service-role service period mutation trusts caller-supplied restaurant ID","server/restaurants/servicePeriods.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-3902d2c252.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-556a5891e8","HIGH","acl-check","Availability settings can drive a globally scoped occasions write path without tenant/admin authorization","src/app/app/(app)/settings/restaurant/availability/page.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-556a5891e8.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-55d2ad1b35","HIGH","acl-check","Managers can mint owner invitations via direct API request","src/app/app/(app)/settings/restaurant/team/page.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-55d2ad1b35.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"acl-check-653f2cfaaf","HIGH","acl-check","Restaurant settings route lacks an admin role guard","src/app/app/(app)/settings/restaurant/layout.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-653f2cfaaf.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-6830d02d62","HIGH","acl-check","Global booking occasions can be mutated without backend role authorization","src/components/features/restaurant-settings/AvailabilityOccasionsEditor.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-6830d02d62.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-696a54f3cb","HIGH","acl-check","Any authenticated user can create tables for arbitrary restaurants","src/app/api/onboarding/restaurant/[id]/tables/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-696a54f3cb.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-6b59bb97ba","HIGH","acl-check","Onboarding restaurant ID drives service-role writes without restaurant authorization","src/components/features/onboarding/OnboardingWizard.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-6b59bb97ba.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-757aa41b30","HIGH","acl-check","Authenticated users can update another restaurant's service periods","src/app/api/onboarding/restaurant/[id]/service-periods/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-757aa41b30.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-7f581c60c5","HIGH","acl-check","Drink menu RPCs can bypass app-layer authorization if left executable by PUBLIC","server/drinks-menu/repository.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-7f581c60c5.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-8ccbed693e","HIGH","acl-check","Assignment context endpoint lacks handler-level tenant authorization","src/components/features/dashboard/booking-details/hooks/useTableAssignment.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-8ccbed693e.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-8f3d216ae1","HIGH","acl-check","Non-admin restaurant members can mutate zone configuration","server/ops/zones.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-8f3d216ae1.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-911c8c9191","HIGH","acl-check","Any restaurant member can modify table inventory","src/app/api/ops/tables/[id]/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-911c8c9191.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-9240a2b462","HIGH","acl-check","Soft-hold RPCs lack tenant authorization","server/capacity/table-assignment/soft-holds.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-9240a2b462.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-92f105780b","HIGH","acl-check","Table assignment context uses a service-role endpoint without resource-level authorization","src/components/features/dashboard/booking-details/components/BookingDialogBody.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-92f105780b.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-93b6b9e197","HIGH","acl-check","Non-admin restaurant members can mutate table inventory and zones","src/components/features/tables/TableInventoryClient.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-93b6b9e197.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-9e05fa7ef1","HIGH","acl-check","Restaurant availability page can mutate the global booking occasion catalog","src/components/features/restaurant-settings/AvailabilityScheduleManager.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-9e05fa7ef1.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-aa6e39516b","HIGH","acl-check","Admin-only turn-band settings are bypassable through direct Supabase RLS access","src/app/api/ops/restaurants/[id]/turn-bands/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-aa6e39516b.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-ac3f42eee6","HIGH","acl-check","Occasion admin helpers are used without backend admin authorization","server/occasions/admin.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-ac3f42eee6.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-ac6a05a5bd","HIGH","acl-check","Ops restaurant creation lacks route-local authorization","src/app/api/ops/restaurants/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-ac6a05a5bd.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-b4f9451dd5","HIGH","acl-check","Occasion creation lacks backend admin authorization","src/app/api/ops/occasions/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-b4f9451dd5.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-c237d4b00b","HIGH","acl-check","Global booking occasions can be mutated without role authorization","src/components/features/restaurant-settings/AvailabilityScheduleManager.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-c237d4b00b.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-c72585dac4","HIGH","acl-check","Managers can tamper invite role to create owner memberships","src/components/features/team/TeamInviteForm.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-c72585dac4.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"acl-check-d373828210","HIGH","acl-check","Any authenticated user can mutate the global occasion catalog","src/app/api/ops/occasions/[key]/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-d373828210.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-d95f277b32","HIGH","acl-check","Any authenticated ops user can mutate global occasions","src/services/ops/occasions.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-d95f277b32.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-e75a59edaf","HIGH","acl-check","Service-role assignment context lacks per-restaurant authorization","src/app/api/ops/bookings/[id]/assignment-context/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-e75a59edaf.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-e961ce1d89","HIGH","acl-check","Occasion catalog mutations lack backend role authorization","src/components/features/restaurant-settings/AvailabilityOccasionsEditor.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-e961ce1d89.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-f718be6c0f","HIGH","acl-check","Service-role replacement can be reached from onboarding without restaurant ownership","server/restaurants/servicePeriods.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-f718be6c0f.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-fbd433e113","HIGH","acl-check","Non-admin staff can modify table and zone settings","src/app/app/(app)/settings/restaurant/tables/page.tsx",".deepsec/findings/HIGH/nabatableLP-acl-check-fbd433e113.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"acl-check-fef0e91096","HIGH","acl-check","Global booking occasions can be changed by non-admin users","src/app/api/ops/occasions/route.ts",".deepsec/findings/HIGH/nabatableLP-acl-check-fef0e91096.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"auth-bypass-02306251a1","HIGH","auth-bypass","Spoofable host parsing can poison auth magic-link URLs","lib/auth/redirects.ts",".deepsec/findings/HIGH/nabatableLP-auth-bypass-02306251a1.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"auth-bypass-051e9ee772","HIGH","auth-bypass","Invitation link lets inviter reset an existing user's password","src/components/features/team/TeamInviteForm.tsx",".deepsec/findings/HIGH/nabatableLP-auth-bypass-051e9ee772.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"auth-bypass-58345c742d","HIGH","auth-bypass","Magic-link callback host can be poisoned to leak login tokens","src/app/api/auth/signin/route.ts",".deepsec/findings/HIGH/nabatableLP-auth-bypass-58345c742d.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"auth-bypass-90adae6f32","HIGH","auth-bypass","Magic-link token can be sent to an attacker-controlled callback origin","server/auth/magic-link-email.ts",".deepsec/findings/HIGH/nabatableLP-auth-bypass-90adae6f32.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"auth-bypass-d416e9788c","HIGH","auth-bypass","Invite creator receives raw acceptance token, enabling mailbox bypass and account takeover","server/team/invitations.ts",".deepsec/findings/HIGH/nabatableLP-auth-bypass-d416e9788c.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"auth-bypass-e7f3e4c0bd","HIGH","auth-bypass","Magic-link callback URL is built from attacker-controlled host data","src/app/api/auth/signin/route.ts",".deepsec/findings/HIGH/nabatableLP-auth-bypass-e7f3e4c0bd.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"cross-tenant-id-1fafa24754","HIGH","cross-tenant-id","Authenticated users can overwrite another restaurant's service periods","src/app/onboarding/services/page.tsx",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-1fafa24754.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-47644130d4","HIGH","cross-tenant-id","Booking update helper permits restaurant_id reassignment by booking id only","server/bookings.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-47644130d4.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-6c4dfb380c","HIGH","cross-tenant-id","Any authenticated user can overwrite another restaurant's onboarding hours","src/app/api/onboarding/restaurant/[id]/hours/route.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-6c4dfb380c.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-7d36b133e1","HIGH","cross-tenant-id","Table inventory API can be queried for arbitrary restaurant IDs","src/app/app/(app)/settings/restaurant/tables/page.tsx",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-7d36b133e1.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-882b4b5e34","HIGH","cross-tenant-id","Service-role onboarding caller can create zones in another tenant","server/ops/zones.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-882b4b5e34.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-938210ff3c","HIGH","cross-tenant-id","Authenticated users can create zones and tables for another restaurant","src/app/onboarding/tables/page.tsx",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-938210ff3c.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-a6e1bcf9ce","HIGH","cross-tenant-id","Client-controlled restaurantId reaches onboarding service-role mutations without membership checks","src/components/features/onboarding/OnboardingWizard.tsx",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-a6e1bcf9ce.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-a723c5f71f","HIGH","cross-tenant-id","Table assignment context is fetched from a service-role endpoint without route-handler authorization","src/components/features/dashboard/booking-details/components/TableAssignmentPanel.tsx",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-a723c5f71f.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-a772574991","HIGH","cross-tenant-id","Assignment context can be read across restaurants","src/services/ops/bookings.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-a772574991.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-c1ac5007ab","HIGH","cross-tenant-id","Onboarding zone creation can write to any restaurant id","server/ops/zones.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-c1ac5007ab.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-c84f40e9d6","HIGH","cross-tenant-id","Tenant service client uses service role without enforcing tenant scope","server/supabase.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-c84f40e9d6.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-d23acb87c1","HIGH","cross-tenant-id","Service-role table creation can be reached without restaurant authorization","server/ops/tables.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-d23acb87c1.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-d4bc3a4248","HIGH","cross-tenant-id","Onboarding hours endpoint can overwrite any restaurant schedule through the service-role writer","server/restaurants/operatingHours.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-d4bc3a4248.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-d56ffbfa26","HIGH","cross-tenant-id","Onboarding hours can overwrite another restaurant's configuration","src/app/onboarding/hours/page.tsx",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-d56ffbfa26.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-e2f30bba6c","HIGH","cross-tenant-id","Modification flow trusts caller-supplied restaurant_id under service role","server/bookings/modification-flow.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-e2f30bba6c.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-e7e28a0362","HIGH","cross-tenant-id","Modification flow trusts caller-supplied restaurant_id","server/bookings/modification-flow.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-e7e28a0362.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-e86ca30f2e","HIGH","cross-tenant-id","Authenticated users can create tables for any restaurant","src/app/api/onboarding/restaurant/[id]/tables/route.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-e86ca30f2e.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-f30d1a9f0e","HIGH","cross-tenant-id","Authenticated users can create zones for any restaurant","src/app/api/onboarding/restaurant/[id]/zones/route.ts",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-f30d1a9f0e.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-f64724cb50","HIGH","cross-tenant-id","Onboarding restaurant update endpoints trust URL restaurant IDs with service-role writes","src/app/auth/signup/page.tsx",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-f64724cb50.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"cross-tenant-id-f6a116615d","HIGH","cross-tenant-id","Onboarding restaurant ID can be used for service-role cross-tenant writes","src/app/auth/signup/page.tsx",".deepsec/findings/HIGH/nabatableLP-cross-tenant-id-f6a116615d.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"env-exposure-4b0b809a7a","HIGH","env-exposure","Supabase service-role key is allowed in public env namespace","config/env.schema.ts",".deepsec/findings/HIGH/nabatableLP-env-exposure-4b0b809a7a.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"env-exposure-6b9595a086","HIGH","env-exposure","Environment validation allows a public Supabase service-role key","scripts/validate-env.ts",".deepsec/findings/HIGH/nabatableLP-env-exposure-6b9595a086.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"env-exposure-9ff41e246e","HIGH","env-exposure","Public env schema allows a Supabase service-role key","config/env.schema.ts",".deepsec/findings/HIGH/nabatableLP-env-exposure-9ff41e246e.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-3830991c9c","HIGH","missing-auth","Email cron processor fails open when CRON_SECRET is unset","src/app/api/cron/process-emails/route.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-3830991c9c.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-48685136d4","HIGH","missing-auth","Dual-sync refresh cron runs cross-tenant provider work when CRON_SECRET is unset","src/app/api/cron/dual-sync/refresh/route.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-48685136d4.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-86b961930f","HIGH","missing-auth","Legacy booking update path allows unauthenticated reservation mutation","src/app/api/bookings/[id]/route.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-86b961930f.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
"missing-auth-89bfc4e37a","HIGH","missing-auth","Dual-sync refresh cron fails open and can be triggered publicly","src/app/api/cron/dual-sync/refresh/route.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-89bfc4e37a.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-948bd36448","HIGH","missing-auth","Auto-complete cron mutates bookings without auth when CRON_SECRET is unset","src/app/api/cron/auto-complete-bookings/route.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-948bd36448.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-9955fe5636","HIGH","missing-auth","Auto-complete cron job can run unauthenticated when CRON_SECRET is unset","server/jobs/auto-complete-bookings.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-9955fe5636.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-a79c0be9d9","HIGH","missing-auth","Service-role assignment context endpoint has no backend auth or restaurant authorization","src/app/api/ops/bookings/[id]/assignment-context/route.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-a79c0be9d9.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-bb10600fd9","HIGH","missing-auth","Unprotected cron POST can process arbitrary service-role email jobs","server/queue/email-processing.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-bb10600fd9.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-efa5655763","HIGH","missing-auth","Email processing cron fails open when CRON_SECRET is unset","src/app/api/cron/process-emails/route.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-efa5655763.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"missing-auth-f0d5dbdf83","HIGH","missing-auth","Cron auto-export runs unauthenticated when CRON_SECRET is unset","src/app/api/cron/dual-sync/auto-export/route.ts",".deepsec/findings/HIGH/nabatableLP-missing-auth-f0d5dbdf83.md","SEC-002","Service-role before tenant authorization","Platform/API owner","Sprint 1","security-critical;tenant-isolation;service-role;needs-regression"
"other-account-takeover-ab5966428f","HIGH","other-account-takeover","Invite acceptance can reset passwords for existing users","src/components/features/team/TeamInviteForm.tsx",".deepsec/findings/HIGH/nabatableLP-other-account-takeover-ab5966428f.md","SEC-001","Account takeover and auth-token exposure","Auth owner","Sprint 1","security-critical;account-takeover;secrets;needs-regression"
